Date,Price,Open,High,Low,Vol.,Change %
"Sep 30, 2021",126.29,126.29,126.29,126.29,-,0.01
"Sep 29, 2021",125.50,125.50,125.50,125.50,-,0.00
"Sep 28, 2021",125.21,125.21,125.21,125.21,-,-0.01
"Sep 27, 2021",125.90,125.90,125.90,125.90,-,0.05
"Sep 24, 2021",119.73,119.73,119.73,119.73,-,0.00
"Sep 23, 2021",119.73,119.73,119.73,119.73,-,0.00
"Sep 22, 2021",119.73,119.73,119.73,119.73,-,0.02
"Sep 21, 2021",116.88,116.88,116.88,116.88,-,-0.01
"Sep 20, 2021",118.36,118.36,118.36,118.36,-,-0.01
"Sep 17, 2021",119.35,119.35,119.35,119.35,-,0.00
"Sep 16, 2021",119.39,119.39,119.39,119.39,-,-0.01
"Sep 15, 2021",120.85,120.85,120.85,120.85,-,0.03
"Sep 14, 2021",117.53,117.53,117.53,117.53,-,0.00
"Sep 13, 2021",117.15,117.15,117.15,117.15,-,0.01
"Sep 10, 2021",116.00,116.00,116.00,116.00,-,0.00
"Sep 09, 2021",115.79,115.79,115.79,115.79,-,0.00
"Sep 08, 2021",115.60,115.60,115.60,115.60,-,0.01
"Sep 07, 2021",114.53,114.53,114.53,114.53,-,-0.02
"Sep 06, 2021",116.40,116.40,116.40,116.40,-,0.00
"Sep 03, 2021",116.40,116.40,116.40,116.40,-,-0.01
"Sep 02, 2021",117.36,117.36,117.36,117.36,-,0.04
"Sep 01, 2021",112.93,112.93,112.93,112.93,-,-0.02
"Aug 31, 2021",114.90,114.90,114.90,114.90,-,0.00
"Aug 30, 2021",114.76,114.76,114.76,114.76,-,0.05
"Aug 23, 2021",108.93,108.93,108.93,108.93,-,0.04
"Aug 20, 2021",104.81,104.81,104.81,104.81,-,0.00
"Aug 19, 2021",104.66,104.66,104.66,104.66,-,-0.05
"Aug 18, 2021",110.32,110.32,110.32,110.32,-,-0.01
"Aug 17, 2021",111.40,111.40,111.40,111.40,-,0.00
"Aug 16, 2021",111.16,111.16,111.16,111.16,-,-0.02
"Aug 13, 2021",113.43,113.43,113.43,113.43,-,0.00
"Aug 12, 2021",113.68,113.68,113.68,113.68,-,0.01
"Aug 11, 2021",112.16,112.16,112.16,112.16,-,-0.01
"Aug 10, 2021",113.10,113.10,113.10,113.10,-,0.03
"Aug 09, 2021",109.71,109.71,109.71,109.71,-,-0.03
"Aug 06, 2021",113.10,113.10,113.10,113.10,-,-0.01
"Aug 05, 2021",114.13,114.13,114.13,114.13,-,0.01
"Aug 04, 2021",113.43,113.43,113.43,113.43,-,-0.02
"Aug 03, 2021",115.28,115.28,115.28,115.28,-,-0.01
"Aug 02, 2021",116.33,116.33,116.33,116.33,-,-0.03
"Jul 30, 2021",119.90,119.90,119.90,119.90,-,0.01
"Jul 29, 2021",119.02,119.02,119.02,119.02,-,0.01
"Jul 28, 2021",117.30,117.30,117.30,117.30,-,0.00
"Jul 27, 2021",117.07,117.07,117.07,117.07,-,0.00
"Jul 26, 2021",116.86,116.86,116.86,116.86,-,0.01
"Jul 23, 2021",116.12,116.12,116.12,116.12,-,0.00
"Jul 22, 2021",116.13,116.13,116.13,116.13,-,0.00
"Jul 21, 2021",116.13,116.13,116.13,116.13,-,0.00
"Jul 20, 2021",116.13,116.13,116.13,116.13,-,0.06
"Jul 19, 2021",109.07,109.07,109.07,109.07,-,-0.06
"Jul 16, 2021",116.33,116.33,116.33,116.33,-,-0.01
"Jul 15, 2021",117.31,117.31,117.31,117.31,-,-0.02
"Jul 14, 2021",119.79,119.79,119.79,119.79,-,0.00
"Jul 13, 2021",119.66,119.66,119.66,119.66,-,0.01
"Jul 12, 2021",118.51,118.51,118.51,118.51,-,-0.01
"Jul 09, 2021",119.37,119.37,119.37,119.37,-,0.03
"Jul 08, 2021",115.79,115.79,115.79,115.79,-,0.01
"Jul 07, 2021",114.52,114.52,114.52,114.52,-,-0.03
"Jul 06, 2021",117.49,117.49,117.49,117.49,-,-0.03
"Jul 05, 2021",120.89,120.89,120.89,120.89,-,0.01
"Jul 02, 2021",119.84,119.84,119.84,119.84,-,0.01
"Jul 01, 2021",119.13,119.13,119.13,119.13,-,0.02
"Jun 30, 2021",117.06,117.06,117.06,117.06,-,0.00
"Jun 29, 2021",117.41,117.41,117.41,117.41,-,0.00
"Jun 28, 2021",117.13,117.13,117.13,117.13,-,0.02
"Jun 25, 2021",114.37,114.37,114.37,114.37,-,0.00
"Jun 24, 2021",114.37,114.37,114.37,114.37,-,0.00
"Jun 23, 2021",114.37,114.37,114.37,114.37,-,0.00
"Jun 22, 2021",114.37,114.37,114.37,114.37,-,0.00
"Jun 21, 2021",114.37,114.37,114.37,114.37,-,0.00
"Jun 18, 2021",114.44,114.44,114.44,114.44,-,0.01
"Jun 17, 2021",113.80,113.80,113.80,113.80,-,-0.02
"Jun 16, 2021",116.45,116.45,116.45,116.45,-,0.01
"Jun 15, 2021",114.87,114.87,114.87,114.87,-,0.00
"Jun 14, 2021",114.49,114.49,114.49,114.49,-,0.01
"Jun 11, 2021",113.71,113.71,113.71,113.71,-,0.00
"Jun 10, 2021",113.85,113.85,113.85,113.85,-,0.00
"Jun 09, 2021",113.41,113.41,113.41,113.41,-,0.02
"Jun 08, 2021",111.37,111.37,111.37,111.37,-,-0.01
"Jun 07, 2021",112.17,112.17,112.17,112.17,-,0.00
"Jun 04, 2021",112.44,112.44,112.44,112.44,-,0.01
"Jun 03, 2021",111.03,111.03,111.03,111.03,-,0.00
"Jun 02, 2021",111.36,111.36,111.36,111.36,-,0.01
"Jun 01, 2021",110.48,110.48,110.48,110.48,-,0.01
"May 31, 2021",109.29,109.29,109.29,109.29,-,0.05
"May 28, 2021",104.35,104.35,104.35,104.35,-,0.00
"May 27, 2021",104.20,104.20,104.20,104.20,-,0.00
"May 26, 2021",104.20,104.20,104.20,104.20,-,-0.03
"May 25, 2021",107.61,107.61,107.61,107.61,-,0.01
"May 24, 2021",107.01,107.01,107.01,107.01,-,0.02
"May 21, 2021",104.81,104.81,104.81,104.81,-,0.01
"May 20, 2021",104.23,104.23,104.23,104.23,-,0.00
"May 19, 2021",103.81,103.81,103.81,103.81,-,-0.04
"May 18, 2021",108.61,108.61,108.61,108.61,-,0.00
"May 17, 2021",108.21,108.21,108.21,108.21,-,0.01
"May 14, 2021",106.98,106.98,106.98,106.98,-,0.01
"May 13, 2021",105.73,105.73,105.73,105.73,-,-0.03
"May 12, 2021",109.12,109.12,109.12,109.12,-,0.02
"May 11, 2021",107.04,107.04,107.04,107.04,-,0.01
"May 10, 2021",106.51,106.51,106.51,106.51,-,0.00
"May 07, 2021",106.45,106.45,106.45,106.45,-,0.00
"May 06, 2021",106.84,106.84,106.84,106.84,-,-0.02
"May 05, 2021",108.54,108.54,108.54,108.54,-,0.02
"May 04, 2021",106.52,106.52,106.52,106.52,-,0.01
"May 03, 2021",105.52,105.52,105.52,105.52,-,0.02
"Apr 30, 2021",103.44,103.44,103.44,103.44,-,-0.02
"Apr 29, 2021",105.53,105.53,105.53,105.53,-,0.01
"Apr 28, 2021",104.64,104.64,104.64,104.64,-,0.03
"Apr 27, 2021",101.78,101.78,101.78,101.78,-,0.01
"Apr 26, 2021",101.15,101.15,101.15,101.15,-,-0.02
"Apr 23, 2021",103.00,103.00,103.00,103.00,-,0.00
"Apr 22, 2021",103.00,103.00,103.00,103.00,-,0.00
"Apr 21, 2021",103.00,103.00,103.00,103.00,-,0.00
"Apr 20, 2021",103.00,103.00,103.00,103.00,-,0.00
"Apr 19, 2021",103.00,103.00,103.00,103.00,-,0.00
"Apr 16, 2021",102.91,102.91,102.91,102.91,-,0.00
"Apr 15, 2021",102.65,102.65,102.65,102.65,-,0.00
"Apr 14, 2021",102.40,102.40,102.40,102.40,-,0.04
"Apr 13, 2021",98.69,98.69,98.69,98.69,-,0.00
"Apr 12, 2021",98.30,98.30,98.30,98.30,-,0.01
"Apr 09, 2021",97.47,97.47,97.47,97.47,-,0.00
"Apr 08, 2021",97.11,97.11,97.11,97.11,-,0.01
"Apr 07, 2021",96.15,96.15,96.15,96.15,-,-0.02
"Apr 06, 2021",98.34,98.34,98.34,98.34,-,0.01
"Apr 01, 2021",96.97,96.97,96.97,96.97,-,-0.02
"Mar 31, 2021",99.18,99.18,99.18,99.18,-,0.00
"Mar 30, 2021",99.10,99.10,99.10,99.10,-,0.00
"Mar 29, 2021",98.85,98.85,98.85,98.85,-,-0.01
"Mar 26, 2021",99.50,99.50,99.50,99.50,-,0.00
"Mar 25, 2021",99.50,99.50,99.50,99.50,-,0.00
"Mar 24, 2021",99.50,99.50,99.50,99.50,-,0.00
"Mar 23, 2021",99.50,99.50,99.50,99.50,-,0.00
"Mar 22, 2021",99.50,99.50,99.50,99.50,-,0.01
"Mar 19, 2021",98.87,98.87,98.87,98.87,-,-0.01
"Mar 18, 2021",100.37,100.37,100.37,100.37,-,-0.03
"Mar 17, 2021",103.99,103.99,103.99,103.99,-,-0.01
"Mar 16, 2021",104.79,104.79,104.79,104.79,-,-0.01
"Mar 15, 2021",105.69,105.69,105.69,105.69,-,-0.01
