Date,Price,Open,High,Low,Vol.,Change %
"Sep 03, 2021",1837.40,1819.00,1840.40,1818.70,1.56K,0.01
"Sep 02, 2021",1815.20,1817.90,1822.60,1811.10,1.88K,0.00
"Sep 01, 2021",1819.90,1820.80,1826.00,1816.00,1.09K,0.00
"Aug 31, 2021",1822.10,1817.00,1823.10,1808.00,0.40K,0.00
"Aug 30, 2021",1816.20,1824.80,1827.60,1815.40,0.09K,0.00
"Aug 27, 2021",1823.60,1800.90,1825.20,1793.70,0.41K,0.01
"Aug 26, 2021",1799.30,1792.30,1803.00,1787.20,0.47K,0.00
"Aug 25, 2021",1795.00,1807.60,1807.60,1789.00,0.11K,-0.01
"Aug 24, 2021",1812.50,1810.00,1813.60,1807.00,0.72K,0.00
"Aug 23, 2021",1810.30,1783.70,1811.70,1783.70,0.75K,0.01
"Aug 20, 2021",1788.00,1792.20,1793.90,1786.00,0.73K,0.00
"Aug 19, 2021",1787.10,1789.10,1797.60,1779.00,0.69K,0.00
"Aug 18, 2021",1788.40,1793.90,1798.50,1783.90,0.71K,0.00
"Aug 17, 2021",1791.80,1791.90,1800.80,1786.80,1.70K,0.00
"Aug 16, 2021",1794.10,1784.90,1794.90,1780.00,0.34K,0.01
"Aug 13, 2021",1782.40,1761.30,1785.50,1761.30,0.84K,0.02
"Aug 12, 2021",1756.10,1756.70,1763.70,1748.90,1.80K,0.00
"Aug 11, 2021",1757.70,1737.00,1760.00,1735.40,1.48K,0.01
"Aug 10, 2021",1735.90,1737.10,1742.80,1726.20,3.34K,0.00
"Aug 09, 2021",1730.80,1762.80,1763.20,1682.40,3.10K,-0.02
"Aug 06, 2021",1767.20,1805.20,1808.00,1764.50,2.08K,-0.03
"Aug 05, 2021",1812.80,1816.30,1819.40,1804.50,0.36K,0.00
"Aug 04, 2021",1818.20,1821.00,1839.60,1813.40,1.09K,0.00
"Aug 03, 2021",1817.90,1817.60,1819.40,1814.90,0.40K,0.00
"Aug 02, 2021",1825.90,1816.20,1826.80,1813.30,0.57K,0.00
"Jul 30, 2021",1820.80,1835.70,1836.90,1818.00,0.91K,-0.01
"Jul 29, 2021",1839.40,1820.00,1840.70,1820.00,0.73K,0.02
"Jul 28, 2021",1808.10,1813.80,1813.90,1803.70,2.46K,0.00
"Jul 27, 2021",1807.30,1806.40,1811.90,1803.10,0.92K,0.00
"Jul 26, 2021",1806.90,1818.90,1818.90,1805.20,0.09K,0.00
"Jul 23, 2021",1809.30,1810.00,1810.20,1799.90,0.31K,0.00
"Jul 22, 2021",1812.90,1806.20,1813.80,1800.70,0.07K,0.00
"Jul 21, 2021",1811.00,1811.90,1812.70,1802.60,0.21K,0.00
"Jul 20, 2021",1818.90,1824.80,1831.00,1817.00,0.23K,0.00
"Jul 19, 2021",1816.90,1821.50,1823.30,1807.10,0.08K,0.00
"Jul 16, 2021",1823.00,1835.70,1835.70,1822.50,0.27K,-0.01
"Jul 15, 2021",1836.90,1833.10,1841.10,1833.10,0.10K,0.00
"Jul 14, 2021",1833.00,1830.00,1836.80,1828.80,1.63K,0.01
"Jul 13, 2021",1817.90,1822.50,1825.10,1814.00,1.20K,0.00
"Jul 12, 2021",1813.80,1817.30,1817.30,1802.00,0.98K,0.00
"Jul 09, 2021",1818.60,1805.80,1818.90,1805.80,1.33K,0.01
"Jul 08, 2021",1807.90,1825.00,1825.00,1802.50,1.14K,0.00
"Jul 07, 2021",1809.60,1811.00,1812.80,1809.80,0.36K,0.00
"Jul 06, 2021",1801.80,1795.20,1821.50,1794.10,0.43K,0.01
"Jul 05, 2021",1791.30,1786.50,1794.65,1784.75,-,0.00
"Jul 04, 2021",1786.40,1788.00,1788.00,1785.80,-,0.00
"Jul 02, 2021",1791.00,1790.30,1800.00,1789.60,0.68K,0.00
"Jul 01, 2021",1784.30,1785.20,1785.20,1782.60,0.51K,0.00
"Jun 30, 2021",1779.30,1764.00,1771.20,1764.00,0.19K,0.00
"Jun 29, 2021",1771.00,1778.00,1778.00,1758.80,0.38K,-0.01
"Jun 28, 2021",1788.30,1783.30,1783.30,1783.30,0.02K,0.00
"Jun 25, 2021",1785.50,1793.00,1793.00,1788.10,0.22K,0.00
"Jun 24, 2021",1784.40,1792.80,1792.80,1782.50,0.00K,0.00
"Jun 23, 2021",1791.10,1790.90,1800.00,1790.90,0.01K,0.00
"Jun 22, 2021",1785.00,1792.80,1792.80,1785.00,0.04K,0.00
"Jun 21, 2021",1790.50,1777.80,1791.50,1777.80,0.24K,0.01
"Jun 18, 2021",1776.50,1786.70,1800.40,1781.00,0.25K,0.00
"Jun 17, 2021",1782.00,1830.90,1830.90,1779.10,0.42K,-0.05
"Jun 16, 2021",1868.70,1863.20,1871.20,1816.40,0.30K,0.00
"Jun 15, 2021",1863.70,1875.20,1875.20,1861.50,0.06K,-0.01
"Jun 14, 2021",1873.20,1875.00,1875.20,1858.60,0.10K,-0.01
"Jun 11, 2021",1886.90,1898.80,1898.80,1885.70,0.03K,-0.01
"Jun 10, 2021",1903.80,1896.70,1896.70,1885.50,0.04K,0.00
"Jun 09, 2021",1902.90,1901.00,1901.70,1901.00,0.02K,0.00
"Jun 08, 2021",1901.80,1905.70,1911.70,1900.70,0.03K,0.00
"Jun 07, 2021",1906.10,1895.30,1895.30,1895.30,0.12K,0.00
"Jun 04, 2021",1899.20,1879.90,1896.50,1879.30,0.12K,0.01
"Jun 03, 2021",1880.50,1913.50,1913.70,1875.80,0.33K,-0.02
"Jun 02, 2021",1917.20,1904.30,1916.10,1903.80,0.28K,0.00
"Jun 01, 2021",1912.50,1919.30,1919.30,1909.40,0.21K,0.00
"May 31, 2021",1911.15,1906.80,1913.40,1904.85,-,0.00
"May 30, 2021",1906.75,1907.60,1907.90,1906.10,-,0.00
"May 28, 2021",1913.10,1908.90,1909.20,1896.00,0.18K,0.00
"May 27, 2021",1906.70,1907.00,1909.60,1897.70,0.02K,0.00
"May 26, 2021",1911.10,1917.50,1922.40,1904.70,0.05K,0.00
"May 25, 2021",1907.70,1887.50,1910.00,1887.50,0.04K,0.01
"May 24, 2021",1894.00,1891.70,1894.60,1891.70,0.02K,0.00
"May 21, 2021",1886.00,1888.60,1895.10,1882.00,0.04K,0.00
"May 20, 2021",1891.00,1883.50,1889.70,1877.40,0.01K,0.00
"May 19, 2021",1890.70,1876.70,1898.00,1861.80,0.12K,0.01
"May 18, 2021",1877.30,1879.70,1879.70,1878.60,0.03K,0.00
"May 17, 2021",1876.70,1854.50,1876.10,1854.50,0.64K,0.02
"May 14, 2021",1848.10,1834.60,1849.20,1834.50,0.09K,0.01
