Date,Price,Open,High,Low,Vol.,Change %,day
"Nov 14, 2021",65471.00,64406.00,65471.00,63589.00,2.19K,0.02,245.00
"Nov 13, 2021",64406.00,64137.00,64968.20,63405.00,1.87K,0.00,244.00
"Nov 12, 2021",64156.00,64801.00,65412.00,62310.00,5.12K,-0.01,243.00
"Nov 11, 2021",64801.00,64954.00,65541.00,64089.00,2.86K,0.00,242.00
"Nov 10, 2021",64954.00,66935.00,68925.00,63123.00,12.23K,-0.03,241.00
"Nov 09, 2021",66935.00,67526.00,68429.00,66343.00,6.46K,-0.01,240.00
"Nov 08, 2021",67526.00,63259.10,67665.00,63259.10,8.98K,0.07,239.00
"Nov 07, 2021",63259.10,61495.00,63279.00,61400.00,3.23K,0.03,238.00
"Nov 06, 2021",61496.00,61016.40,61583.00,60100.00,2.93K,0.01,237.00
"Nov 05, 2021",61016.40,61422.80,62598.00,60746.30,2.26K,-0.01,236.00
"Nov 04, 2021",61422.80,62904.00,63060.20,60733.00,2.93K,-0.02,235.00
"Nov 03, 2021",62904.00,63249.00,63556.00,60624.00,4.76K,-0.01,234.00
"Nov 02, 2021",63249.00,60927.00,64263.40,60661.00,5.20K,0.04,233.00
"Nov 01, 2021",60927.00,61330.00,62485.00,59595.60,4.81K,-0.01,232.00
"Oct 31, 2021",61330.00,61838.80,62414.00,60021.00,2.42K,-0.01,231.00
"Oct 30, 2021",61838.80,62235.00,62353.00,60756.00,2.24K,-0.01,230.00
"Oct 29, 2021",62235.00,60598.00,62980.00,60189.50,3.92K,0.03,229.00
"Oct 28, 2021",60598.00,58453.00,62395.00,57612.00,8.07K,0.04,228.00
"Oct 27, 2021",58453.00,60289.00,61447.70,58096.40,7.14K,-0.03,227.00
"Oct 26, 2021",60290.00,63100.00,63306.00,59852.00,4.75K,-0.04,226.00
"Oct 25, 2021",63100.00,60847.00,63666.00,60633.00,3.71K,0.04,225.00
"Oct 24, 2021",60847.00,61302.00,61471.00,59537.00,2.88K,-0.01,224.00
"Oct 23, 2021",61302.00,60708.00,61731.00,59762.00,2.71K,0.01,223.00
"Oct 22, 2021",60708.00,62200.00,63708.00,60045.00,6.35K,-0.02,222.00
"Oct 21, 2021",62200.00,65988.00,66643.00,62100.00,13.37K,-0.06,221.00
"Oct 20, 2021",65988.00,64263.00,66927.00,63536.00,9.26K,0.03,220.00
"Oct 19, 2021",64237.00,62034.00,64418.00,61441.10,9.15K,0.04,219.00
"Oct 18, 2021",62034.00,61504.00,62661.00,59948.00,8.56K,0.01,218.00
"Oct 17, 2021",61511.00,60867.50,61652.00,59073.00,5.14K,0.01,217.00
"Oct 16, 2021",60867.50,61680.00,62325.00,60175.00,4.28K,-0.01,216.00
"Oct 15, 2021",61709.00,57354.00,62897.00,56889.00,11.88K,0.08,215.00
"Oct 14, 2021",57354.00,57381.00,58473.00,56880.00,4.59K,0.00,214.00
"Oct 13, 2021",57381.00,55967.00,57758.00,54310.00,3.09K,0.03,213.00
"Oct 12, 2021",55967.00,57468.00,57633.00,54000.00,5.94K,-0.03,212.00
"Oct 11, 2021",57468.00,54701.00,57802.50,54430.00,7.51K,0.05,211.00
"Oct 10, 2021",54701.00,54978.00,56414.00,54173.00,5.84K,-0.01,210.00
"Oct 09, 2021",54978.00,53925.00,55443.70,53711.00,2.44K,0.02,209.00
"Oct 08, 2021",53925.00,53793.00,56000.00,53649.00,5.48K,0.00,208.00
"Oct 07, 2021",53793.00,55331.00,55339.00,53444.00,4.95K,-0.03,207.00
"Oct 06, 2021",55331.00,51508.00,55724.00,50448.00,10.52K,0.07,206.00
"Oct 05, 2021",51508.00,49232.00,51891.10,49065.00,6.68K,0.05,205.00
"Oct 04, 2021",49252.00,48243.00,49503.00,46951.00,6.19K,0.02,204.00
"Oct 03, 2021",48243.00,47675.00,49187.00,47124.00,3.60K,0.01,203.00
"Oct 02, 2021",47675.00,48151.00,48330.00,47459.00,2.06K,-0.01,202.00
"Oct 01, 2021",48157.00,43830.00,48454.00,43311.00,8.32K,0.10,201.00
"Sep 30, 2021",43830.00,41551.00,44107.00,41432.00,5.11K,0.05,200.00
"Sep 29, 2021",41551.00,41064.00,42591.00,40811.00,4.39K,0.01,199.00
"Sep 28, 2021",41064.00,42191.00,42777.00,40928.00,6.16K,-0.03,198.00
"Sep 27, 2021",42191.00,43220.50,44354.00,42144.00,4.26K,-0.02,197.00
"Sep 26, 2021",43180.00,42711.00,43931.00,40830.00,5.47K,0.01,196.00
"Sep 25, 2021",42711.00,42854.00,42977.00,41731.00,2.96K,0.00,195.00
"Sep 24, 2021",42878.00,44882.00,45140.00,40779.00,11.76K,-0.04,194.00
"Sep 23, 2021",44882.00,43582.60,44986.00,43121.00,5.29K,0.03,193.00
